Número;Origen;Nombre del socio a mostrar en la factura;Nota albaran;Referencia;Agente/Nombre;Comercial;Fecha de Factura/Recibo;Líneas de factura/Producto;Líneas de factura/Producto/Nombre;Líneas de factura/Producto/Color;Líneas de factura/Producto/Valores de atributo;Líneas de factura/Producto/Atributos del producto;Líneas de factura/Producto/sku;Líneas de factura/Producto/Código de barras;Líneas de factura/Producto/Código HS;Líneas de factura/Producto/Categoría de producto;Líneas de factura/Producto/Extra Categories;Líneas de factura/Producto/Género;Líneas de factura/Cantidad;Líneas de factura/Precio unitario;Líneas de factura/Subtotal;Contacto;Contacto/Código de cliente;Contacto/ID;Contacto/NIF;Contacto/Nombre del padre;Equipo de ventas
;;CLIENTE AMAZON NACIONAL;407-1326720-8268325;;AMAZON;;2020-04-20;;TRANSPORTE;UNICO;ONE;;VUVVA00654ONEONE;8434076226170;;V;VA;U;1;;3,30;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;407-4106510-4722769;;AMAZON;;2020-04-20;;BERRY;DARK GREY;M;;IMWSF00773DGM;8434076272474;;W;S2;M;1;;54,54;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;171-6104203-2108311;;AMAZON;;2020-04-20;;WHEELER;RED/BLACK;M;;IWLPF00565RD/BKM;8434076280769;;L;PF;W;1;;7,41;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;171-6104203-2108311;;AMAZON;;2020-04-20;;TRANSPORTE;UNICO;ONE;;VUVVA00654ONEONE;8434076226170;;V;VA;U;1;;3,30;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;171-6109459-4337105;;AMAZON;;2020-04-20;;ANCELLE;BEIGE/LILA;37;;IWFFO00822BG/LL37;8434076374468;;F;SD;W;1;;18,18;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;171-6109459-4337105;;AMAZON;;2020-04-20;;TRANSPORTE;UNICO;ONE;;VUVVA00654ONEONE;8434076226170;;V;VA;U;1;;3,30;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;171-6690806-3881909;;AMAZON;;2020-04-20;;WHEELER;RED/BLACK;XXL;;IWLPF00565RD/BKXXL;8434076280806;;L;PF;W;1;;7,41;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;171-6690806-3881909;;AMAZON;;2020-04-20;;TRANSPORTE;UNICO;ONE;;VUVVA00654ONEONE;8434076226170;;V;VA;U;1;;3,30;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;402-4077917-7208301;;AMAZON;;2020-04-20;;WHEELER;BLACK/FUXIA;4XL;;IWLPF00565BK/FX4XL;8434076357102;;L;PF;W;1;;6,61;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;402-4077917-7208301;;AMAZON;;2020-04-20;;TRANSPORTE;UNICO;ONE;;VUVVA00654ONEONE;8434076226170;;V;VA;U;1;;3,30;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;402-4618482-1808314;;AMAZON;;2020-04-20;;WHEELER;FUXIA/BLACK;XXL;;IWLPF00565FX/BKXXL;8434076035017;;L;PF;W;1;;6,20;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;402-4618482-1808314;;AMAZON;;2020-04-20;;TRANSPORTE;UNICO;ONE;;VUVVA00654ONEONE;8434076226170;;V;VA;U;1;;3,30;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;402-7987671-0706759;;AMAZON;;2020-04-20;;LEEDS;WASABI/SAND;39;;IWFSD01412WB/SD39;8434076499161;;F;SD;W;1;;26,44;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;403-0006363-0530766;;AMAZON;;2020-04-20;;AILAMA;FUXIA/BLACK;XXL;;IWYPD00933FX/BKXXL;8434076374048;;Y;PD;W;1;;40,70;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;403-2052802-2925919;;AMAZON;;2020-04-20;;WHEELER;VIOLET/BLACK;XL;;IWLPF00565VI/BKXL;8434076357300;;L;PF;W;1;;10,33;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;403-2052802-2925919;;AMAZON;;2020-04-20;;WHEELER;RED/BLACK;XL;;IWLPF00565RD/BKXL;8434076280783;;L;PF;W;1;;7,41;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;403-2052802-2925919;;AMAZON;;2020-04-20;;WHEELER;FUXIA/BLACK;XXL;;IWLPF00565FX/BKXXL;8434076035017;;L;PF;W;1;;6,20;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;403-2052802-2925919;;AMAZON;;2020-04-20;;TRANSPORTE;UNICO;ONE;;VUVVA00654ONEONE;8434076226170;;V;VA;U;1;;3,30;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;403-9504039-7463569;;AMAZON;;2020-04-20;;WHEELER;VIOLET/BLACK;M;;IWLPF00565VI/BKM;8434076357287;;L;PF;W;1;;7,41;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;403-9504039-7463569;;AMAZON;;2020-04-20;;TRANSPORTE;UNICO;ONE;;VUVVA00654ONEONE;8434076226170;;V;VA;U;1;;3,30;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;403-9576126-1916300;;AMAZON;;2020-04-20;;ESPES;DARK GREY/BLACK/ROYAL;L;;IMPPA00876DG/BKL;8434076296777;;P;PY;M;1;;49,58;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;404-2931690-3449938;;AMAZON;;2020-04-20;;ACAY;BLACK/SILVER;XXL;;IMSTS00988BKXXL;8434076318790;;S;PO;M;1;;9,92;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;404-2931690-3449938;;AMAZON;;2020-04-20;;TRANSPORTE;UNICO;ONE;;VUVVA00654ONEONE;8434076226170;;V;VA;U;1;;3,30;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;404-3710459-3932306;;AMAZON;;2020-04-20;;CADIER;RED;44;;IMFFO00624RED44;8434076266398;;F;FO;M;1;;27,26;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;404-7376926-5013959;;AMAZON;;2020-04-20;;CADIER;RED;42;;IMFFO00624RED42;8434076266374;;F;FO;M;1;;27,26;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;405-6551187-2736356;;AMAZON;;2020-04-20;;ALETCH;BLACK/DARK GREY/LIME;L;;IMPPA00354BK/DGL;8434076008554;;P;PA;M;1;;38,83;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;406-2351647-2377936;;AMAZON;;2020-04-20;;CORUNA;BLACK/DARK GREY;L;;IMPPA00359BK/DGL;8434076097718;;P;PA;M;1;;27,26;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;407-4542131-7734748;;AMAZON;;2020-04-20;;CORUNA;BLACK/DARK GREY;L;;IMPPA00359BK/DGL;8434076097718;;P;PA;M;1;;27,26;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;407-6370396-9557104;;AMAZON;;2020-04-20;;CADIER;RED;43;;IMFFO00624RED43;8434076266381;;F;FO;M;1;;27,26;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;408-2106072-4469904;;AMAZON;;2020-04-20;;WENGEN;BLACK/BLACK;L;;IWPPA00579BK/BKL;8434076034133;;P;PA;W;1;;37,18;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;408-6234283-1702731;;AMAZON;;2020-04-20;;VALLUNA;BLACK/FUXIA;S;;IWPPA00798BK/FXS;8434076281865;;P;PA;W;1;;34,31;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;408-7231809-6725901;;AMAZON;;2020-04-20;;OSAJE;.BLACK/RED;L;;IWPPA00575BK/RDL;8434076165202;;P;P3;W;1;;36,36;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;171-2382860-2174749D;;AMAZON;;2020-04-20;;WHEELER;VIOLET/BLACK;M;;IWLPF00565VI/BKM;8434076357287;;L;PF;W;1;;0,00;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE AMAZON NACIONAL;405-2330870-1549120;;AMAZON;;2020-04-20;;BREZEL;ROYAL;L;;IMRRN00809RYL;8434076284217;;R;RJ;M;1;;27,26;CLIENTE AMAZON NACIONAL;43003237;;;;Marketplace Nacional
;;CLIENTE WEB NACIONAL;3000001293;;CLIENTE WE;;2020-04-20;;FIYI;BLACK/DARK GREY;45;;IUFFO01189BK/DG45;8434076385488;;F;SN;U;1;;24,79;CLIENTE WEB NACIONAL;43002276;;;;Online Nacional
;;CLIENTE WEB NACIONAL;3000001292;;CLIENTE WE;;2020-04-20;;TANZANIA;LIGHT ROSE/WINE;XS;;IWEPS01227WI/LRXS;8434076405971;;E;PS;W;1;;16,52;CLIENTE WEB NACIONAL;43002276;;;;Online Nacional
;;CLIENTE WEB NACIONAL;3000001292;;CLIENTE WE;;2020-04-20;;DOROTA;PURPLE/DARK  PURPLE;XS;;IWPPA00570PP/DPXS;8434076380285;;P;PA;W;1;;33,05;CLIENTE WEB NACIONAL;43002276;;;;Online Nacional
;;CLIENTE WEB NACIONAL;3000001296;;CLIENTE WE;;2020-04-20;;AVERY;RED;XXL;;IMUTS01367RDXXL;8434076486857;;U;TS;M;1;;12,39;CLIENTE WEB NACIONAL;43002276;;;;Online Nacional
;;CLIENTE WEB NACIONAL;3000001296;;CLIENTE WE;;2020-04-20;;AVERY;LIME;XXL;;IMUTS01367LMXXL;8434076486697;;U;TS;M;1;;12,39;CLIENTE WEB NACIONAL;43002276;;;;Online Nacional
;;CLIENTE WEB NACIONAL;3000001296;;CLIENTE WE;;2020-04-20;;KANSAS;MINERAL RED;XXL;;IMUTS01365MRXXL;8434076486130;;U;TS;M;1;;19,83;CLIENTE WEB NACIONAL;43002276;;;;Online Nacional
;;CLIENTE WEB NACIONAL;3000001296;;CLIENTE WE;;2020-04-20;;INDO;BLACK/RED;XXL;;IMRSH01171BK/RDXXL;8434076375588;;R;RP;M;1;;16,52;CLIENTE WEB NACIONAL;43002276;;;;Online Nacional
;;AMAZON EU SARL, SUCCURSALE ITALIANA;3XRUJGJG;;AMAZON IT;;2020-04-20;;DUFOUR;DARK GREY;M;;IMRRN00403DGM;8434076382272;;R;RP;M;1;;11,28;AMAZON EU SARL, SUCCURSALE ITALIANA;43003243;;;;Webs Intracomunitario
;;AMAZON EU SARL, SUCCURSALE ITALIANA;3XRUJGJG;;AMAZON IT;;2020-04-20;;ANCELLE;BEIGE/LILA;38;;IWFFO00822BG/LL38;8434076374475;;F;SD;W;1;;16,94;AMAZON EU SARL, SUCCURSALE ITALIANA;43003243;;;;Webs Intracomunitario
;;AMAZON EU SARL, SUCCURSALE ITALIANA;3XRUJGJG;;AMAZON IT;;2020-04-20;;BEAR;BLUEMOON;M;;IMPSH00395BMM;8434076379593;;P;SH;M;1;;18,08;AMAZON EU SARL, SUCCURSALE ITALIANA;43003243;;;;Webs Intracomunitario
;;AMAZON EU SARL, SUCCURSALE ITALIANA;3XRUJGJG;;AMAZON IT;;2020-04-20;;DAKOTA;LILAC/DARK PURPLE;XS;;IWUTS01182LL/DPXS;8434076378145;;U;TS;W;1;;11,28;AMAZON EU SARL, SUCCURSALE ITALIANA;43003243;;;;Webs Intracomunitario
;;AMAZON EU SARL, SUCCURSALE ITALIANA;3XRUJGJG;;AMAZON IT;;2020-04-20;;BEAR;MINERAL RED;XL;;IMPSH00395MRXL;8434076379692;;P;SH;M;1;;18,08;AMAZON EU SARL, SUCCURSALE ITALIANA;43003243;;;;Webs Intracomunitario
;;AMAZON EU SARL, SUCCURSALE ITALIANA;3XRUJGJG;;AMAZON IT;;2020-04-20;;ALABAMA;WHITE;S;;IMUTS01180WHS;8434076377124;;U;TS;M;1;;11,28;AMAZON EU SARL, SUCCURSALE ITALIANA;43003243;;;;Webs Intracomunitario
;;AMAZON EU SARL, SUCCURSALE ITALIANA;3XRUJGJG;;AMAZON IT;;2020-04-20;;BREZEL;LIGHT GREEN;XL;;IMRRN00809LGXL;8434076382050;;R;RJ;M;1;;18,08;AMAZON EU SARL, SUCCURSALE ITALIANA;43003243;;;;Webs Intracomunitario
;;AMAZON EU SARL, SUCCURSALE ITALIANA;3XRUJGJG;;AMAZON IT;;2020-04-20;;LANGLEY;BEET RED/ORANGE;39;;IWFFO01160BR/OR39;8434076383149;;F;FO;M;1;;33,94;AMAZON EU SARL, SUCCURSALE ITALIANA;43003243;;;;Webs Intracomunitario
;;AMAZON EU SARL, SUCCURSALE ITALIANA;3XRUJGJG;;AMAZON IT;;2020-04-20;;KEA;BLACK/FUXIA;L;;IWPSH01006BK/FXL;8434076381589;;P;SH;W;1;;22,61;AMAZON EU SARL, SUCCURSALE ITALIANA;43003243;;;;Webs Intracomunitario
;;AMAZON EU SARL, SUCCURSALE ITALIANA;3XRUJGJG;;AMAZON IT;;2020-04-20;;OSPIKA;SMOKE/GREY/LIME;XXL;;IMPSH00994SM/GRXXL;8434076379395;;P;SH;M;1;;29,41;AMAZON EU SARL, SUCCURSALE ITALIANA;43003243;;;;Webs Intracomunitario
;;AMAZON EU SARL, SUCCURSALE ITALIANA;3XRUJGJG;;AMAZON IT;;2020-04-20;;MESA;BLUE MOON/CORAL FLUOR;L;;IWPSH01007BM/CFL;8434076381060;;P;SH;W;1;;22,61;AMAZON EU SARL, SUCCURSALE ITALIANA;43003243;;;;Webs Intracomunitario
;;AMAZON EU SARL, SUCCURSALE ITALIANA;3XRUJGJG;;AMAZON IT;;2020-04-20;;ESPES;BLACK/SMOKE/LIME;L;;IMPPA00876BK/SML;8434076379203;;P;PY;M;1;;38,48;AMAZON EU SARL, SUCCURSALE ITALIANA;43003243;;;;Webs Intracomunitario
;;AMAZON EU SARL, SUCCURSALE ITALIANA;3XRUJGJG;;AMAZON IT;;2020-04-20;;BEAR;MINERAL RED;M;;IMPSH00395MRM;8434076379678;;P;SH;M;1;;18,08;AMAZON EU SARL, SUCCURSALE ITALIANA;43003243;;;;Webs Intracomunitario
;;AMAZON EU SARL, SUCCURSALE ITALIANA;3XRUJGJG;;AMAZON IT;;2020-04-20;;MESA;DARK GREY/TURQUOISE;M;;IWPSH01007DG/TQM;8434076381237;;P;SH;W;1;;22,61;AMAZON EU SARL, SUCCURSALE ITALIANA;43003243;;;;Webs Intracomunitario
;;AMAZON EU SARL, SUCCURSALE ITALIANA;3XRUJGJG;;AMAZON IT;;2020-04-20;;CREUS II;YELLOW;4XL;;IMSTS01030YW4XL;8434076327556;;S;TB;M;1;;5,10;AMAZON EU SARL, SUCCURSALE ITALIANA;43003243;;;;Webs Intracomunitario
;;AMAZON EU SARL, SUCCURSALE ITALIANA;3XRUJGJG;;AMAZON IT;;2020-04-20;;KEA;DARK AQUA/CERAMIC;L;;IWPSH01006DA/CRL;8434076381701;;P;SH;W;1;;22,61;AMAZON EU SARL, SUCCURSALE ITALIANA;43003243;;;;Webs Intracomunitario
;;AMAZON EU SARL, SUCCURSALE ITALIANA;3XRUJGJG;;AMAZON IT;;2020-04-20;;ROCK;BLUE RIVER/TURQUOISE;L;;IMPSH01000BV/TQL;8434076379722;;P;SH;M;1;;28,28;AMAZON EU SARL, SUCCURSALE ITALIANA;43003243;;;;Webs Intracomunitario
;;AMAZON EU SARL, SUCCURSALE ITALIANA;3XRUJGJG;;AMAZON IT;;2020-04-20;;ALABAMA;STONE;M;;IMUTS01180STM;8434076377018;;U;TS;M;1;;11,28;AMAZON EU SARL, SUCCURSALE ITALIANA;43003243;;;;Webs Intracomunitario
;;AMAZON EU SARL, SUCCURSALE ITALIANA;3XRUJGJG;;AMAZON IT;;2020-04-20;;FORATA;MINERAL RED/DARK GREY;M;;IWPPA00879MR/DGM;8434076380377;;P;P1;W;1;;30,54;AMAZON EU SARL, SUCCURSALE ITALIANA;43003243;;;;Webs Intracomunitario
;;AMAZON EU SARL, SUCCURSALE ITALIANA;3XRUJGJG;;AMAZON IT;;2020-04-20;;OSPIKA;SMOKE/GREY/LIME;M;;IMPSH00994SM/GRM;8434076379364;;P;SH;M;1;;29,41;AMAZON EU SARL, SUCCURSALE ITALIANA;43003243;;;;Webs Intracomunitario
;;AMAZON EU SARL, SUCCURSALE ITALIANA;3XRUJGJG;;AMAZON IT;;2020-04-20;;ROCK;BLUE RIVER/TURQUOISE;XXL;;IMPSH01000BV/TQXXL;8434076379760;;P;SH;M;1;;28,28;AMAZON EU SARL, SUCCURSALE ITALIANA;43003243;;;;Webs Intracomunitario
;;AMAZON EU SARL, SUCCURSALE ITALIANA;3XRUJGJG;;AMAZON IT;;2020-04-20;;ROCK;MINERAL RED/DARK GREY;M;;IMPSH01000MR/DGM;8434076379784;;P;SH;M;1;;28,28;AMAZON EU SARL, SUCCURSALE ITALIANA;43003243;;;;Webs Intracomunitario
;;AMAZON EU SARL, SUCCURSALE ITALIANA;3XRUJGJG;;AMAZON IT;;2020-04-20;;ESPES;BLACK/SMOKE/LIME;M;;IMPPA00876BK/SMM;8434076379210;;P;PY;M;1;;38,48;AMAZON EU SARL, SUCCURSALE ITALIANA;43003243;;;;Webs Intracomunitario
;;AMAZON EU SARL, SUCCURSALE ITALIANA;3XRUJGJG;;AMAZON IT;;2020-04-20;;SANDER;BLACK/ROYAL;4XL;;IMPPA00386BK/RY4XL;8434076374338;;P;PA;M;1;;32,81;AMAZON EU SARL, SUCCURSALE ITALIANA;43003243;;;;Webs Intracomunitario
;;AMAZON EU SARL, SUCCURSALE ITALIANA;3XRUJGJG;;AMAZON IT;;2020-04-20;;DUFOUR;DARK GREY;S;;IMRRN00403DGS;8434076382289;;R;RP;M;1;;11,28;AMAZON EU SARL, SUCCURSALE ITALIANA;43003243;;;;Webs Intracomunitario
;;AMAZON EU SARL, SUCCURSALE ITALIANA;3XRUJGJG;;AMAZON IT;;2020-04-20;;ANCELLE;BLACK/SILVER;39;;IWFFO00822BK/SV39;8434076374543;;F;SD;W;1;;16,94;AMAZON EU SARL, SUCCURSALE ITALIANA;43003243;;;;Webs Intracomunitario
;;AMAZON EU SARL, SUCCURSALE ITALIANA;3XRUJGJG;;AMAZON IT;;2020-04-20;;SANDER;BLACK/ROYAL;XXL;;IMPPA00386BK/RYXXL;8434076374383;;P;PA;M;1;;32,81;AMAZON EU SARL, SUCCURSALE ITALIANA;43003243;;;;Webs Intracomunitario
;;AMAZON EU SARL, SUCCURSALE ITALIANA;3XRUJGJG;;AMAZON IT;;2020-04-20;;TYREE;BLUEMOON/ORANGE;M;;IMYPD01155BM/ORM;8434076370941;;Y;VP;M;1;;26,01;AMAZON EU SARL, SUCCURSALE ITALIANA;43003243;;;;Webs Intracomunitario
;;AMAZON EU SARL, SUCCURSALE ITALIANA;3XRUJGJG;;AMAZON IT;;2020-04-20;;TYREE;BLUEMOON/ORANGE;XL;;IMYPD01155BM/ORXL;8434076370965;;Y;VP;M;1;;26,01;AMAZON EU SARL, SUCCURSALE ITALIANA;43003243;;;;Webs Intracomunitario
;;AMAZON EU SARL, SUCCURSALE ITALIANA;3XRUJGJG;;AMAZON IT;;2020-04-20;;TYREE;BLUEMOON/ORANGE;XXL;;IMYPD01155BM/ORXXL;8434076370989;;Y;VP;M;1;;26,01;AMAZON EU SARL, SUCCURSALE ITALIANA;43003243;;;;Webs Intracomunitario
;;AMAZON EU SARL, SUCCURSALE ITALIANA;3XRUJGJG;;AMAZON IT;;2020-04-20;;TYREE;BLUEMOON/ORANGE;S;;IMYPD01155BM/ORS;8434076370958;;Y;VP;M;1;;26,01;AMAZON EU SARL, SUCCURSALE ITALIANA;43003243;;;;Webs Intracomunitario
;;AMAZON EU SARL, SUCCURSALE ITALIANA;3XRUJGJG;;AMAZON IT;;2020-04-20;;AILAMA;BEET RED/DARK GREY;L;;IWYPD00933BR/DGL;8434076372365;;Y;PD;W;1;;33,94;AMAZON EU SARL, SUCCURSALE ITALIANA;43003243;;;;Webs Intracomunitario
;;AMAZON EU SARL, SUCCURSALE ITALIANA;3XRUJGJG;;AMAZON IT;;2020-04-20;;BALTIC;BLACK/BLACK;XL;;IMPPA00784BK/BKXL;8434076371924;;P;PA;M;1;;33,94;AMAZON EU SARL, SUCCURSALE ITALIANA;43003243;;;;Webs Intracomunitario
;;AMAZON EU SARL, SUCCURSALE ITALIANA;3XRUJGJG;;AMAZON IT;;2020-04-20;;BALTIC;BLACK/BLACK;M;;IMPPA00784BK/BKM;8434076371900;;P;PA;M;1;;33,94;AMAZON EU SARL, SUCCURSALE ITALIANA;43003243;;;;Webs Intracomunitario
;;AMAZON EU SARL, SUCCURSALE ITALIANA;3XRUJGJG;;AMAZON IT;;2020-04-20;;LEX;DARK PURPLE/PURPLE;M;;IWYPD01156DP/PPM;8434076373904;;Y;VP;W;1;;26,01;AMAZON EU SARL, SUCCURSALE ITALIANA;43003243;;;;Webs Intracomunitario
;;AMAZON EU SARL, SUCCURSALE ITALIANA;3XRUJGJG;;AMAZON IT;;2020-04-20;;TYREE;BLACK/BLACK;L;;IMYPD01155BK/BKL;8434076370859;;Y;VP;M;1;;26,01;AMAZON EU SARL, SUCCURSALE ITALIANA;43003243;;;;Webs Intracomunitario
;;AMAZON EU SARL, SUCCURSALE ITALIANA;3XRUJGJG;;AMAZON IT;;2020-04-20;;LEX;BLACK/FUXIA;M;;IWYPD01156BK/FXM;8434076371634;;Y;VP;W;1;;26,01;AMAZON EU SARL, SUCCURSALE ITALIANA;43003243;;;;Webs Intracomunitario
;;AMAZON EU SARL, SUCCURSALE ITALIANA;3XRUJGJG;;AMAZON IT;;2020-04-20;;LEX;DARK PURPLE/PURPLE;S;;IWYPD01156DP/PPS;8434076373911;;Y;VP;W;2;;52,02;AMAZON EU SARL, SUCCURSALE ITALIANA;43003243;;;;Webs Intracomunitario
;;AMAZON EU SARL, SUCCURSALE ITALIANA;3XRUJGJG;;AMAZON IT;;2020-04-20;;TYREE;BLACK/BLACK;XL;;IMYPD01155BK/BKXL;8434076370880;;Y;VP;M;1;;26,01;AMAZON EU SARL, SUCCURSALE ITALIANA;43003243;;;;Webs Intracomunitario
;;AMAZON EU SARL, SUCCURSALE ITALIANA;3XRUJGJG;;AMAZON IT;;2020-04-20;;LEX;BLACK/FUXIA;S;;IWYPD01156BK/FXS;8434076371641;;Y;VP;W;1;;26,01;AMAZON EU SARL, SUCCURSALE ITALIANA;43003243;;;;Webs Intracomunitario
;;AMAZON EU SARL, SUCCURSALE ITALIANA;3XRUJGJG;;AMAZON IT;;2020-04-20;;TYREE;BLACK/BLACK;XXL;;IMYPD01155BK/BKXXL;8434076370903;;Y;VP;M;1;;26,01;AMAZON EU SARL, SUCCURSALE ITALIANA;43003243;;;;Webs Intracomunitario
;;AMAZON EU SARL, SUCCURSALE ITALIANA;3XRUJGJG;;AMAZON IT;;2020-04-20;;LEX;BLACK/FUXIA;L;;IWYPD01156BK/FXL;8434076371627;;Y;VP;W;1;;26,01;AMAZON EU SARL, SUCCURSALE ITALIANA;43003243;;;;Webs Intracomunitario
;;AMAZON EU SARL, SUCCURSALE ITALIANA;3XRUJGJG;;AMAZON IT;;2020-04-20;;CUMBRIA;DARK PURPLE/PURPLE;XL;;IWYPD00936DP/PPXL;8434076373744;;Y;VP;W;1;;30,54;AMAZON EU SARL, SUCCURSALE ITALIANA;43003243;;;;Webs Intracomunitario
;;AMAZON EU SARL, SUCCURSALE ITALIANA;3XRUJGJG;;AMAZON IT;;2020-04-20;;CUMBRIA;DARK PURPLE/PURPLE;S;;IWYPD00936DP/PPS;8434076373737;;Y;VP;W;1;;30,54;AMAZON EU SARL, SUCCURSALE ITALIANA;43003243;;;;Webs Intracomunitario
;;AMAZON EU SARL, SUCCURSALE ITALIANA;3XRUJGJG;;AMAZON IT;;2020-04-20;;TAKU;ROYAL/DARK GREY/LIGHT GREEN;XL;;IMRRN00814RY/DGXL;8434076361079;;E;PS;M;1;;12,41;AMAZON EU SARL, SUCCURSALE ITALIANA;43003243;;;;Webs Intracomunitario
;;AMAZON EU SARL, SUCCURSALE ITALIANA;3XRUJGJG;;AMAZON IT;;2020-04-20;;KANJUT;BLACK/DARK GREY;M;;IMEPS01069BK/DGM;8434076349848;;E;PS;M;1;;22,61;AMAZON EU SARL, SUCCURSALE ITALIANA;43003243;;;;Webs Intracomunitario
;;AMAZON EU SARL, SUCCURSALE ITALIANA;3XRUJGJG;;AMAZON IT;;2020-04-20;;ORTIL;BLUEMOON/ORANGE;L;;IMYPD00919BM/ORL;8434076345543;;Y;VP;M;1;;30,54;AMAZON EU SARL, SUCCURSALE ITALIANA;43003243;;;;Webs Intracomunitario
;;AMAZON EU SARL, SUCCURSALE ITALIANA;3XRUJGJG;;AMAZON IT;;2020-04-20;;FLORENZ;BLUEMOON/BLUEMOON;3XL;;IMDDW00309BM/BM3XL;8434076338866;;D;DW;M;1;;49,81;AMAZON EU SARL, SUCCURSALE ITALIANA;43003243;;;;Webs Intracomunitario
;;AMAZON EU SARL, SUCCURSALE ITALIANA;3XRUJGJG;;AMAZON IT;;2020-04-20;;SOMKA;BLACK/FUXIA;XS;;IWEPS01081BK/FXXS;8434076357973;;E;PS;W;1;;22,61;AMAZON EU SARL, SUCCURSALE ITALIANA;43003243;;;;Webs Intracomunitario
;;AMAZON EU SARL, SUCCURSALE ITALIANA;3XRUJGJG;;AMAZON IT;;2020-04-20;;BERNIA;GOLD HONEY/DARK GREY;XL;;IMUPU01057GH/DGXL;8434076335773;;U;PU;M;1;;26,01;AMAZON EU SARL, SUCCURSALE ITALIANA;43003243;;;;Webs Intracomunitario
;;AMAZON EU SARL, SUCCURSALE ITALIANA;3XRUJGJG;;AMAZON IT;;2020-04-20;;CIMBIA;BLUEMOON/ROSE;S;;IWUPU01058BM/RSS;8434076337593;;U;PU;W;1;;26,01;AMAZON EU SARL, SUCCURSALE ITALIANA;43003243;;;;Webs Intracomunitario
;;AMAZON EU SARL, SUCCURSALE ITALIANA;3XRUJGJG;;AMAZON IT;;2020-04-20;;SOMKA;DARK PURPLE/CERAMIC;S;;IWEPS01081DP/CRS;8434076358017;;E;PS;W;1;;22,61;AMAZON EU SARL, SUCCURSALE ITALIANA;43003243;;;;Webs Intracomunitario
